,Topik 1,Topik 2,Topik 3,Total Proporsi Kata
android,0.009641561155586821,0.9881005652417066,0.002257873602706516,0.9999999999999999
andromax,0.09175393313191404,0.7079783750568749,0.2002676918112111,1.0
anggap,0.7955456175892829,0.06539677671893061,0.1390576056917864,0.9999999999999999
anggaran,0.15614380965324962,0.6778570122966572,0.16599917805009323,1.0
anggota,0.6640478634516933,0.31633677416862926,0.019615362379677405,1.0
anggotanya,0.7579428438966819,0.09128512495321595,0.15077203115010213,1.0
angin,0.7602633955836103,0.08888233593748582,0.15085426847890374,0.9999999999999999
angina,0.09308248247347227,0.7065756744530597,0.200341843073468,1.0
angka,0.30860866917943575,0.4410748826816357,0.2503164481389286,1.0
angkaangka,0.8218332430082255,0.06605531762421522,0.1121114393675593,1.0
angkatan,0.04630633664952516,0.35321423403923624,0.6004794293112385,1.0
angket,0.27443277383418674,0.6776745349193463,0.04789269124646697,1.0
angsuran,0.6336687339239816,0.13581730113823498,0.2305139649377834,1.0
angular,0.1559607930657227,0.030893946482271235,0.8131452604520061,1.0
animasi,0.009916365076186403,0.968407272037198,0.02167636288661564,1.0
annidhomiyah,0.6259993852367314,0.14141067261535545,0.23258994214791323,1.0
annular,0.6336687349258672,0.13581730090316502,0.2305139641709678,1.0
anonym,0.0650111687809859,0.0836049579111277,0.8513838733078863,1.0
anotasi,0.7602633958597798,0.08888233586947182,0.15085426827074827,0.9999999999999998
anp,0.30646291320533586,0.02463214024585938,0.6689049465488048,1.0
anpelectr,0.6336687351955133,0.13581730084129132,0.2305139639631954,1.0
answer,0.04208211329654753,0.8656306984117458,0.09228718829170672,1.0
ant,0.06501116895112001,0.0836049581866735,0.8513838728622064,0.9999999999999999
antarfitur,0.6336687352485239,0.13581730082831883,0.23051396392315737,1.0
antarmuka,0.23833796849362324,0.6293046030571253,0.13235742844925144,1.0
anteced,0.6336687357871772,0.13581730070052137,0.2305139635123015,1.0
anternatif,0.33203405043946577,0.4542873182247368,0.21367863133579743,1.0
antisipasi,0.06501116877428313,0.08360495789965795,0.8513838733260589,1.0
antomi,0.06508177321980976,0.08525338268831835,0.8496648440918718,1.0
antri,0.09175393306434301,0.707978375479456,0.2002676914562009,0.9999999999999999
antrian,0.011745854592904368,0.24705150944724139,0.7412026359598544,1.0
anual,0.09175393305825648,0.7079783755090682,0.20026769143267528,1.0
ap,0.9121158690521899,0.03258303786057758,0.055301093087232585,1.0
apach,0.03315456536536003,0.8945446088693939,0.07230082576524607,1.0
apapun,0.41135544272871866,0.5085964917311798,0.08004806554010153,1.0
aparat,0.057707530022320444,0.8163365200354823,0.12595594994219728,1.0
aparatur,0.09175393283183894,0.7079783769377839,0.20026769023037708,0.9999999999999999
api,0.32415429955760244,0.34963831103415627,0.32620738940824123,0.9999999999999999
apk,0.8204498197667359,0.06611791978257334,0.11343226045069077,1.0
apl,0.03802964593192528,0.048906472624505,0.9130638814435696,0.9999999999999999
aplic,0.09142433444363222,0.7002831031749521,0.20829256238141566,1.0
aplikai,0.09175393284543004,0.7079783768508434,0.20026769030372654,1.0
aplikasi,0.0326598991581541,0.7132131894186248,0.25412691142322114,1.0
aplikasiaplikasi,0.425220840194662,0.05989438437878349,0.5148847754265545,1.0
aplikasidalam,0.09175393333566693,0.7079783737761195,0.20026769288821367,1.0
aplikasinya,0.057707530002504004,0.816336520156916,0.12595594984058,1.0
aplikasisalah,0.09175393313906899,0.7079783750085639,0.20026769185236712,1.0
apm,0.820449819574069,0.06611791977515745,0.11343226065077357,1.0
apotek,0.006580804857395303,0.05386948709565409,0.9395497080469506,1.0
apotik,0.06503777017344918,0.08422602708016733,0.8507362027463835,1.0
app,0.09175393284543004,0.7079783768508434,0.20026769030372654,1.0
appear,0.633668736049927,0.13581730063719877,0.23051396331287433,1.0
applic,0.16063187230184,0.48755440633713637,0.3518137213610235,0.9999999999999999
applikasi,0.07213147619437245,0.08425872394786706,0.8436097998577605,1.0
apprentic,0.09211970524315588,0.7075921881412841,0.20028810661556004,1.0
approxim,0.03802964600630752,0.04890647274667049,0.913063881247022,1.0
apresiasi,0.06024909311490934,0.8137048823653839,0.12604602451970678,1.0
apriliana,0.09175393292203793,0.7079783763728733,0.20026769070508876,1.0
apriori,0.9120201166779704,0.03263142878802175,0.05534845453400781,1.0
ar,0.009665493368934743,0.972144516282062,0.018189990349003305,1.0
arab,0.013327620176204504,0.9574207634184627,0.02925161640533282,1.0
arah,0.426950045415069,0.3835952952844194,0.18945465930051156,0.9999999999999999
arahan,0.06684298989230517,0.08377315084071833,0.8493838592669765,1.0
arcad,0.06501116869721997,0.08360495777514572,0.8513838735276343,1.0
architectur,0.008878580203701423,0.4406927097016345,0.550428710094664,0.9999999999999999
architecturecentr,0.09170268910580187,0.7067819483647965,0.20151536252940164,0.9999999999999999
architectureuntuk,0.0650111687116124,0.08360495779827787,0.8513838734901098,1.0
arduino,0.9456066552229946,0.02054169180674392,0.033851652970261575,1.0
area,0.6936958459793676,0.18603692185459852,0.12026723216603398,1.0000000000000002
areabas,0.11817056853821269,0.6800873148531191,0.20174211660866823,1.0
areal,0.6336687349155351,0.13581730090371602,0.23051396418074876,0.9999999999999999
ari,0.8582403628955096,0.05255737949880105,0.0892022576056893,1.0
arial,0.09175393301070241,0.707978375819205,0.20026769117009272,1.0000000000000002
arifin,0.06501116875560212,0.0836049578687772,0.8513838733756207,1.0
arima,0.038029645973908136,0.048906472693260185,0.9130638813328317,1.0
arini,0.6131570860425594,0.13522930960799295,0.2516136043494478,1.0
aritmatika,0.05821219770134565,0.8158139666439062,0.12597383565474826,1.0
arosbaya,0.16879535470541365,0.7784058587324026,0.0527987865621838,1.0
around,0.6336687356611549,0.1358173007295302,0.2305139636093149,0.9999999999999999
arous,0.038044086705138536,0.04946965355843544,0.912486259736426,1.0
arq,0.06501116874368879,0.08360495785021542,0.8513838734060958,1.0
array,0.6248255949931907,0.1451540045195301,0.2300204004872791,0.9999999999999999
arrhytmia,0.8822929650569142,0.04363987827211091,0.074067156670975,1.0000000000000002
arsip,0.033169213471729166,0.8945296605664717,0.07230112596179912,1.0
arsitek,0.06501116870726681,0.08360495779148151,0.8513838735012518,1.0
arsitektur,0.033908760652461505,0.23471141601832587,0.7313798233292127,1.0
art,0.8983181802171105,0.037542422351624104,0.06413939743126544,1.0
arti,0.2426483819695953,0.07436212284592023,0.6829894951844845,1.0
artif,0.03803851960249698,0.04925253891769781,0.9127089414798052,1.0
artifak,0.006833326733647521,0.008787720700123167,0.9843789525662293,1.0
artifici,0.3635475463909347,0.02075131570135108,0.6157011379077143,1.0
artikel,0.3816250279846309,0.046472645165717474,0.5719023268496517,1.0
aru,0.02693998487461911,0.0356525965041341,0.9374074186212469,1.0
as,0.023331358366135885,0.9259607770488927,0.05070786458497141,1.0
asafa,0.06501116905243072,0.08360495835027604,0.8513838725972933,1.0
asc,0.02730830387207369,0.913086938324963,0.05960475780296329,1.0
